State,PISTOL,REVOLVER,RIFLE,SHOTGUN,DERRINGER,MACHINEGUN,RECEIVER/FRAME,COMBINATION GUN,UNKNOWN TYPE,SILENCER,ANY OTHER WEAPON,DESTRUCTIVE DEVICE,FLARE GUN,TEAR GAS LAUNCHER,TOTAL
Alabama,3579,1069,649,502,61,17,7,2,3,0,1,1,0,0,5891
Alaska,361,117,143,76,4,4,5,2,2,0,0,0,0,0,714
Arizona,4260,1057,1400,786,56,20,11,5,9,0,2,4,0,0,7610
Arkansas,472,159,171,104,9,7,1,1,2,1,5,1,0,0,933
California,15570,6710,7501,4350,278,121,265,29,43,8,10,3,2,0,34890
Colorado,1919,541,550,321,34,13,0,3,1,2,3,1,1,0,3389
Connecticut,646,288,280,142,14,11,435,2,1,3,0,8,0,0,1830
Delaware,522,187,120,111,8,0,0,1,0,0,0,0,0,0,949
District of columbia,791,324,119,100,7,0,0,2,1,0,0,1,0,0,1345
Florida,11238,3761,2522,1762,205,17,35,7,22,1,4,14,3,1,19592
Georgia,6984,1963,1266,898,79,20,4,4,11,4,3,5,0,0,11241
Guam,9,9,3,8,0,0,0,0,0,0,0,0,0,0,29
Hawaii,45,23,35,16,1,2,5,0,1,0,0,0,0,0,128
Idaho,385,105,200,113,8,10,7,1,4,1,0,0,0,0,834
Illinois,6394,2716,1121,1035,127,9,144,4,12,0,2,3,1,0,11568
Indiana,3500,863,599,543,59,14,4,0,1,2,1,1,0,0,5587
Iowa,730,186,249,268,19,5,1,2,0,0,1,0,0,0,1461
Kansas,1298,302,365,252,22,1,5,0,0,1,2,0,0,0,2248
Kentucky,1777,544,452,305,38,6,4,3,14,1,3,18,0,0,3165
Louisiana,4306,1214,938,688,45,12,2,1,4,0,0,2,0,1,7213
Maine,132,51,79,44,4,1,0,2,1,0,0,2,0,0,316
Maryland,3058,1374,1746,1405,55,17,28,13,3,0,5,0,1,1,7706
Massachusetts,857,367,179,107,19,3,2,1,2,0,1,0,0,0,1538
Michigan,3207,1028,839,714,35,46,126,4,4,13,4,3,1,0,6024
Minnesota,1258,352,462,331,17,4,1,3,1,0,0,0,0,0,2429
Mississippi,1550,465,332,248,25,12,2,2,0,0,2,1,0,0,2639
Missouri,3050,729,666,467,39,10,2,7,5,0,1,0,0,0,4976
Montana,220,66,127,50,5,0,0,1,0,0,0,0,0,0,469
Nebraska,520,157,195,214,9,2,3,1,1,1,1,0,0,0,1104
Nevada,1802,554,415,259,26,75,24,2,2,0,2,4,0,0,3165
New hampshire,122,58,54,20,0,1,0,0,0,0,1,0,0,0,256
New jersey,2129,1023,414,353,29,32,5,3,6,0,0,0,0,0,3994
New mexico,783,217,397,219,17,7,1,0,1,0,2,0,0,0,1644
New york,3793,1756,1137,869,89,16,14,1,11,0,0,0,0,0,7686
North carolina,5506,1913,1686,1474,119,20,8,4,5,2,5,1,0,0,10743
North dakota,438,155,415,278,12,3,2,1,3,0,1,0,0,0,1308
Ohio,6204,1882,1086,988,96,27,10,5,7,24,3,1,0,0,10333
Oklahoma,765,227,302,165,10,10,2,0,0,2,1,1,0,0,1485
Oregon,1666,568,1037,457,42,11,15,5,5,2,0,1,0,3,3812
Pennsylvania,4848,1676,1384,908,71,9,6,14,11,1,1,0,0,0,8929
Puerto rico,886,144,167,37,8,8,9,0,2,0,0,0,0,0,1261
Rhode island,225,90,64,42,3,0,11,1,0,0,0,0,0,0,436
South carolina,2330,769,494,433,33,2,3,1,2,0,0,0,0,0,4067
South dakota,88,28,68,57,2,6,0,1,0,0,2,0,0,0,252
Tennessee,3044,1081,913,656,96,24,3,3,11,0,6,1,1,0,5839
Texas,8977,2329,2510,1906,115,46,51,6,21,6,4,4,1,1,15977
Us virgin islands,110,21,1,3,0,0,0,0,0,0,0,0,0,0,135
Utah,590,141,242,117,11,6,2,0,0,0,0,1,0,0,1110
Vermont,71,30,42,18,0,0,0,0,0,0,0,0,0,0,161
Virginia,4057,1106,1101,741,66,13,18,5,4,5,2,9,0,2,7129
Washington,1890,563,798,404,26,9,5,3,3,1,1,3,0,0,3706
West virginia,396,156,226,132,16,5,1,1,0,0,0,0,0,0,933
Wisconsin,2121,544,527,443,27,3,12,1,3,0,1,0,1,1,3684
Wyoming,83,41,66,31,1,0,0,0,0,0,2,0,0,0,224
Total,131562,43799,38854,26970,2197,717,1301,160,245,81,85,94,12,10,246087
,,,,,,,,,,,,,,,
